Usuario,Artista 1,Artista 2,Artista 3,Artista 4,Artista 5,Artista 6,Artista 7,Artista 8,Artista 9,Artista 10,Artista 11,Artista 12,Artista 13,Artista 14,Artista 15,Artista 16,Artista 17,Artista 18,Artista 19,Artista 20,Artista 21,Artista 22,Artista 23,Artista 24,Artista 25,Artista 26,Artista 27,Artista 28,Artista 29,Artista 30

agoraphobictoe,Billie Eilish,Melanie Martinez,Taylor Swift,Eminem,NF,Hollywood Undead,twenty one pilots,Halsey,Olivia Rodrigo,360,Witt Lowry,Shawn Mendes,Tom Odell,Lana Del Rey,Lil Peep,Conan Gray,Rihanna,Coldplay,Labrinth,Alec Benjamin,Nessa Barrett,nicole amoroso,The Neighbourhood,Ed Sheeran,Harry Styles,The Weeknd,James Arthur,One Direction,Panic! at the Disco,XXXTENTACION
INTRENTR,Billie Eilish,Nessa Barrett,XXXTENTACION,Chris Grey,Paramore,Maggie Lindemann,Lely45,Artemas,Olivia Rodrigo,Ariana Grande,Doja Cat,Pierce the Veil,KALUSH,The Weeknd,Chase Atlantic,Після дощу,Один В Каное,Osty,DOROFEEVA,alyona alyona,Jerry Heil,Big Baby Tape,Morgenstern,Pharaoh,Our Last Night,Nothing But Thieves,Pussykiller,Discollusion,Yeat,INSTASAMKA
Eibrunosilvah,Billie Eilish,Beyoncé,Doja Cat,Kali Uchis,Ariana Grande,Megan Thee Stallion,Anitta,Nicki Minaj,SZA,Urias,Cardi B,Labrinth,ROSALÍA,Rihanna,Lana Del Rey,Olivia Rodrigo,Adele,Britney Spears,K/DA,Conan Gray,Lady Gaga,Melanie Martinez,Harry Styles,The Neighbourhood,Dua Lipa,Pabllo Vittar,Lil Nas X,Sia,Ashe,GloRilla
Efepe69,Billie Eilish,Post Malone,Marshmello,Luísa Sonza,bbno$,Taylor Swift,Harry Styles,Trevor Daniel,d4vd,Labrinth,David Kushner,BENEE,Wolfgang Amadeus Mozart,Doja Cat,GRAVEDGR,Olivia Rodrigo,Bhad Bhabie,Ashnikko,Alan Walker,Beach House,Diogo Defante,Lana Del Rey,The Kid LAROI,Iggy Azalea,SadBoyProlific,Oliver Tree,M83,League of Legends,7 Minutoz,Hiosaki
ashe_4991,Billie Eilish,Chase Atlantic,The Weeknd,Lana Del Rey,The Neighbourhood,Labrinth,Montell Fish,Isabel LaRosa,Nessa Barrett,Doja Cat,Arctic Monkeys,Melanie Martinez,Olivia Rodrigo,Tate McRae,Gracie Abrams,Ariana Grande,Mitski,Taylor Swift,Tory Lanez,Brent Faiyaz,Nick Alexandr,girl in red,Halsey,SYML,d4vd,Lil Peep,Nicki Minaj,Dove Cameron,Pierce the Veil,Odetari
SUICIDEevelyn,Billie Eilish,$uicideboy$,Sematary,Afourteen,Buckshot,Scrim,Ashnikko,chetta,Bones,MaDJaX,Turnabout,elusin,Wendigo,Teenage Disaster,CRAIG SCISSORHANDS,Duckboy,takizava,BRUHMANEGOD,Elita,BLCKK,Estelle Allen,ZAPERWAVE,DUSTMYTE,Clams Casino,Lil Peep,Pluto76x,Germ,Gxner.,Lil Darkie,Mkultra
ashe_4999,Billie Eilish,Chase Atlantic,Lana Del Rey,The Weeknd,The Neighbourhood,Labrinth,Montell Fish,Isabel LaRosa,Doja Cat,Arctic Monkeys,Olivia Rodrigo,Nessa Barrett,Tate McRae,Melanie Martinez,Gracie Abrams,Ariana Grande,Mitski,Taylor Swift,Brent Faiyaz,Nick Alexandr,girl in red,Halsey,The Summer Set,SYML,Tory Lanez,d4vd,Nicki Minaj,Dove Cameron,Lil Peep,Pierce the Veil
zoecandoit,Madison Beer,Hailee Steinfeld,Billie Eilish,Ariana Grande,RAYE,beabadoobee,SOOJIN,Kendrick Lamar,CHUU,"Hailee Steinfeld, Anderson .Paak",Beyoncé,Isabel LaRosa,Taylor Swift,Hailee Steinfeld & Grey,Dove Cameron,Red Velvet,ILLIT,Rihanna,Clairo,Megan Thee Stallion,Nessa Barrett,"Hailee Steinfeld, Aris Archontis",Stray Kids,Laufey,Baby Monster,ENHYPEN,"Megan Thee Stallion, Pooh Shiesty",Nicki Minaj,Tate McRae,Sabrina Carpenter
mchljhnqvnql,Billie Eilish,Lorde,BTS,Lana Del Rey,Cigarettes After Sex,Eminem,Justin Bieber,Taylor Swift,FINNEAS,Sia,Labrinth,ROSALÍA,Bazzi,Ramin Djawadi,My Chemical Romance,The Weeknd,TOMORROW X TOGETHER,Linked Horizon,安藤裕子,BLACKPINK,Selena Gomez,Tove Lo,Beach House,Troye Sivan,Kwamie Liv,Ariana Grande,Beyoncé,Dua Lipa,Hans Zimmer,Joji
